"";"Year";"Mo";"Da";"Ho";"Area";"Lat";"Lon";"Dep";"M"
"225";1692;9;13;11;"[Argentina]";-25,4;-64,8;30;7
"226";1693;1;11;13;"Sicilia orientale";37,14;15,013;NA;7,42
"227";1694;6;19;7;"N side of Akita Pref.";40,2;140,1;NA;7
"228";1695;5;12;NA;"Isfara'in";36,8;57;NA;7
"229";1695;5;18;NA;"Linfen (Shanxi)";36;111,5;NA;7,75
"230";1696;4;14;NA;"Chaldiran";39,1;43,9;NA;7
"231";1696;7;14;9;"[Peru]";-12,8;-77,7;20;6,7
"232";1697;2;7;NA;"Costa de Guerrero";16,5;-99;NA;7,5
"233";1697;9;29;13;"[Peru]";-12,3;-77,4;30;7,3
"234";1698;6;20;NA;"Ambato";-1,4;-78,8;NA;7,3
"235";1698;10;2;8;"Mediterranean?";32;30;NA;6
"236";1699;1;4;18;"Batavia";-7;105,5;NA;7,5
"237";1699;7;14;9;"[Peru]";-11,8;-77,5;40;7,8
"238";1700;1;27;5;"Cascadia Subduction Zone";48,5;-125;NA;9
"239";1700;4;15;NA;"Iki, Tsushima";33,9;129,6;NA;7
"240";1701;6;12;NA;"[Vrancea deep]";45,7;26,6;150;7,1
"241";1701;11;9;NA;"[Haiti]";18,42;-72,65;NA;6,6
"242";1703;12;31;NA;"S Kanto";35,03;139,66;NA;8,2
"243";1704;5;27;13;"Akita Pref., Aomori Pref.";40,4;140;NA;7
"244";1705;10;NA;NA;"Ambon";-4;127,9;NA;7
"245";1705;11;24;NA;"[Syria]";33,7;36,6;35;6,9
"246";1707;10;28;14;"Western Japan";33;136;NA;8,6
"247";1707;10;29;6;"Shizuoka and Yamanashi Pref.";35,1;138,6;NA;7
"248";1709;10;14;NA;"Zhongwei (Ningxia)";37,4;105,3;NA;7,5
"249";1710;3;6;NA;"Indonesia";-4,53;129,9;NA;7
"250";1711;NA;NA;NA;"Comasagua";13,667;-89,417;NA;7
"251";1712;12;14;NA;"Costuma";13,583;-88,833;NA;7,1
"252";1713;9;4;NA;"Diexi and Maoxian (Sichuan)";32;103,7;NA;7
"253";1715;8;23;NA;"[Peru]";-17,3;-70,8;80;8
"254";1716;NA;NA;NA;"Middle Asia, Kazakhstan";41,2;80,3;30;7,5
"255";1716;2;3;2;"Algeria";36,7;3,1;NA;7
"256";1717;NA;NA;NA;"Crete";35,9;22,9;NA;7
"257";1717;5;13;14;"Sendai";38,5;142,5;NA;7,5
"258";1717;9;29;NA;"Patzicia";14,5;-90,75;NA;7,4
"259";1717;10;3;NA;"Amatitlan, Guazacapan";14,333;-90,5;NA;7
"260";1718;6;19;NA;"S of Tongwei (Gansu)";35;105,2;NA;7,5
"261";1718;8;22;14;"S Nagano Pref. (Inadani)";35,3;137,9;NA;7
"262";1719;3;5;NA;"Ystepeque";13,667;-89;NA;7,6
"263";1719;5;25;NA;"Izmit";40,733;29,777;NA;6,75
"264";1720;NA;NA;NA;"Siquinala";14,667;-91;NA;7
"265";1720;7;25;12;"N Uttarpradesh";30;80;NA;7,4
"266";1721;4;26;7;"SW Tabriz";37,9;46,7;NA;7,7
"267";1724;10;12;2;"[Océano Atlántico]";39;-12,5;NA;7
"268";1724;11;NA;NA;"Chita";6,2;-72,48;NA;6,75
"269";1725;1;7;4;"[Peru]";-9,2;-79,3;60;7,5
"270";1725;2;1;NA;"[Russia]";52,36;114,2;NA;6,8
"271";1725;8;1;NA;"Kangding (Sichuan)";30;101,9;NA;7
"272";1727;11;9;18;"Nord-Est Martinique";14,983;-60,75;NA;6,57
"273";1730;7;8;10;"[Chile]";-33,05;-71,63;NA;8,75
"274";1730;11;11;3;"Coast of Ibakaki Pref.";36;142;NA;7,3
"275";1732;12;2;6;"[Peru]";-11,8;-77,6;50;6,9
"276";1733;5;NA;NA;"Patzicia";14,667;-91,083;NA;7
"277";1733;8;2;NA;"Dongchuan and Ziniupo (Yunnan)";26,2;103,1;NA;7,75
"278";1733;11;30;NA;"Eritrean scarp";15,7;39;NA;6
"279";1736;5;6;NA;"Tecoluca";13,583;-88,917;NA;7,2
"280";1737;3;6;17;"Ezine";40,224;26,966;NA;7,36
"281";1737;10;17;15;"Kamchatka";51,1;158;40;8,3
"282";1737;11;4;8;"Kamchatka";55,5;163;20;7,8
"283";1737;12;24;NA;"[Chile]";-39,8;-73,2;NA;7,5
"284";1738;6;11;10;"[Vrancea deep]";45,7;26,6;130;7,7
"285";1738;12;23;NA;"Yushu, Qinghai";33,3;96,6;NA;6,5
"286";1738;12;26;1;"Kamchatka";55;157,5;350;7,1
"287";1739;1;3;NA;"Pingluo and Yinchuan (Ningxia)";38,8;106,5;NA;8
"288";1740;4;5;NA;"[Vrancea deep]";45,7;26,6;150;7,3
"289";1741;1;31;1;"Rhodos";36,16;28,5;NA;7,54
"290";1741;2;15;NA;"[Guatemala]";15,75;-90,42;10;7
"291";1741;8;25;NA;"[Ecuador]";-3,1;-78,1;NA;6,8
"292";1742;NA;NA;NA;"Comasagua";14;-90,083;NA;7,2
"293";1742;NA;NA;NA;"Tacuilula";13,583;-89,083;NA;7,1
"294";1742;6;27;NA;"[Russia]";53,5;109,5;NA;7,7
"295";1742;8;10;NA;"San Antonio Suchilepequez";14,5;-91,5;NA;7,1
"296";1743;2;20;16;"Basso Ionio";39,846;18,772;NA;7,1
"297";1743;5;30;NA;"Tuxtla";16,75;-92,75;NA;7,8
"298";1746;10;29;3;"[Peru]";-11,996;-77,198;30;8,8
"299";1747;10;13;NA;"Cuyotenango";14,667;-91,5;NA;7,1
"300";1748;3;13;NA;"Olocuitla";13,667;-89,083;NA;7,1
"301";1749;1;20;NA;"[Ecuador]";-4;-79,3;NA;7,4
"302";1750;NA;NA;NA;"Pacific Coast (subduction) ";10,9;-86;45;7,2
"303";1751;NA;NA;NA;"Guge";31,3;80;NA;7
"304";1751;3;4;NA;"Compala";14,667;-90,833;NA;7,3
"305";1751;5;21;2;"Niigata Pref., N Nagano Pref.";37,1;138,2;NA;7,2
"306";1751;5;25;5;"[Chile]";-36,83;-73,03;NA;8,5
"307";1751;9;16;3;"[Haiti]";18,6;-72,3;30;6,8
"308";1751;10;18;NA;"[Dominican Republic]";18,36;-70,84;NA;7,45
